Company Name,Industry,Symbol,Price Deviation (5 D),LTP,ST,MT,LT,ST %,MT %,LT %
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,0.06153,662.8,565.15,490.73,554.19,14.733,25.961,16.387
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,0.06171,7837.55,5545.34,7803.26,2668.8,29.247,0.438,65.949
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,0.06182,2141.75,1786.0,2450.48,248.21,16.61,-14.415,88.411
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,0.062,96.85,64.95,64.95,64.95,32.938,32.938,32.938
Info Edge (India) Ltd.,Consumer Services,NAUKRI,0.06212,4239.15,3551.48,6775.43,1615.53,16.222,-59.83,61.89
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,0.06276,420.9,472.73,615.31,139.15,-12.314,-46.189,66.94
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,0.06284,96.45,52.8,35.25,4.78,45.257,63.453,95.044
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,0.06296,59.0,38.45,36.0,19.55,34.831,38.983,66.864
AIA Engineering Ltd.,Capital Goods,AIAENG,0.06302,3440.55,2878.78,1991.55,1696.05,16.328,42.115,50.704
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,0.06303,1303.6,1069.39,1552.68,805.5,17.966,-19.107,38.21
PNC Infratech Ltd.,Construction,PNCINFRA,0.06315,363.65,264.74,353.73,150.84,27.199,2.728,58.521
Orient Electric Ltd.,Consumer Durables,ORIENTELEC,0.06321,218.3,261.95,344.68,157.23,-19.995,-57.893,27.975
PCBL Ltd.,Chemicals,PCBL,0.06338,168.2,110.85,116.53,100.52,34.096,30.719,40.238
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,0.06348,426.4,278.62,601.16,717.84,34.658,-40.985,-68.349
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,0.06352,118.35,73.8,42.85,75.1,37.643,63.794,36.544
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,0.06432,524.9,260.46,492.14,301.44,50.379,6.241,42.572
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,0.06444,1600.25,1199.13,1580.74,1431.95,25.066,1.219,10.517
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,0.06474,2205.65,622.2,242.07,242.07,71.791,89.025,89.025
FDC Ltd.,Healthcare,FDC,0.06486,383.45,254.8,353.0,249.1,33.551,7.941,35.037
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,0.06491,607.4,442.58,355.82,327.91,27.135,41.419,46.014
Sobha Ltd.,Realty,SOBHA,0.06491,681.9,426.68,803.15,409.77,37.428,-17.781,39.908
Restaurant Brands Asia Ltd.,Consumer Services,RBA,0.06522,127.8,88.3,159.75,159.75,30.908,-25.0,-25.0
Adani Power Ltd.,Power,ADANIPOWER,0.06538,375.35,183.0,97.05,31.85,51.246,74.144,91.515
Justdial Ltd.,Consumer Services,JUSTDIAL,0.06538,721.9,580.95,989.15,541.5,19.525,-37.02,24.99
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC,0.0654,173.3,112.7,105.64,99.91,34.968,39.042,42.349
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,0.06646,2447.5,1818.31,3997.57,998.34,25.707,-63.333,59.21
PB Fintech Ltd.,Financial Services,POLICYBZR,0.06654,742.8,580.7,580.7,580.7,21.823,21.823,21.823
Cipla Ltd.,Healthcare,CIPLA,0.06656,1180.5,874.91,947.83,624.28,25.886,19.709,47.117
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,0.06663,1429.55,1165.05,1165.05,1165.05,18.502,18.502,18.502
IDBI Bank Ltd.,Financial Services,IDBI,0.0667,71.15,43.98,38.28,58.28,38.187,46.198,18.089
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,0.067,138.35,99.89,123.69,112.89,27.799,10.596,18.403
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI,0.06737,2557.7,2033.55,1433.03,550.77,20.493,43.972,78.466
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,0.06768,159.3,95.43,111.29,57.29,40.094,30.138,64.036
EPL Ltd.,Capital Goods,EPL,0.06781,187.9,161.47,240.51,108.04,14.066,-27.999,42.501
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,0.06801,1324.85,898.1,656.95,376.1,32.211,50.413,71.612
Canara Bank,Financial Services,CANBK,0.06803,374.25,266.64,149.57,249.2,28.754,60.035,33.413
Central Depository Services (India) Ltd.,Financial Services,CDSL,0.06814,1352.15,898.66,1241.78,241.32,33.538,8.163,82.153
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,0.0682,3241.85,2774.5,1447.51,1040.8,14.416,55.349,67.895
Astral Ltd.,Capital Goods,ASTRAL,0.06846,1928.15,1320.81,1577.28,503.53,31.499,18.197,73.885
Suzlon Energy Ltd.,Capital Goods,SUZLON,0.06852,25.65,7.2,6.35,6.9,71.93,75.244,73.099
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,0.06914,512.0,362.55,564.92,520.16,29.189,-10.336,-1.594
IFB Industries Ltd.,Consumer Durables,IFBIND,0.06935,899.9,776.95,1205.6,1173.45,13.663,-33.97,-30.398
Anupam Rasayan India Ltd.,Chemicals,ANURAS,0.06942,896.8,824.39,741.42,741.42,8.074,17.326,17.326
Medplus Health Services Ltd.,Consumer Services,MEDPLUS,0.06951,761.15,661.9,661.9,661.9,13.039,13.039,13.039
Sonata Software Ltd.,Information Technology,SONATSOFTW,0.06976,1064.1,769.05,658.4,219.09,27.728,38.126,79.411
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,0.06982,42.15,40.55,36.31,36.31,3.796,13.855,13.855
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,0.07015,531.8,199.57,123.41,42.42,62.473,76.794,92.023
3M India Ltd.,Diversified,3MINDIA,0.07017,31177.8,22165.34,23691.51,24390.68,28.907,24.012,21.769
Poly Medicure Ltd.,Healthcare,POLYMED,0.07054,1385.65,952.1,946.6,207.85,31.289,31.685,85.0
Capri Global Capital Ltd.,Financial Services,CGCL,0.07072,789.45,571.66,516.59,115.85,27.588,34.563,85.325
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,0.07106,298.05,210.06,171.96,411.68,29.522,42.305,-38.124
Trent Ltd.,Consumer Services,TRENT,0.07107,2113.85,1326.5,1003.42,355.57,37.247,52.531,83.179
Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO,0.07139,117.9,94.79,87.26,70.58,19.601,25.988,40.136
HFCL Ltd.,Telecommunication,HFCL,0.07189,75.95,57.24,72.58,24.17,24.635,4.437,68.176
Cera Sanitaryware Ltd,Consumer Durables,CERA,0.07209,8442.4,6106.27,4542.03,2595.5,27.671,46.2,69.256
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,0.07215,2370.35,1865.05,2100.77,2100.77,21.318,11.373,11.373
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,0.07223,546.4,365.2,616.79,147.08,33.163,-12.883,73.082
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,0.07249,2086.45,1752.2,1006.2,761.94,16.02,51.775,63.482
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,0.07281,733.95,587.77,356.93,248.57,19.917,51.369,66.133
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE,0.07302,531.55,330.64,269.94,146.19,37.797,49.216,72.497
Ingersoll Rand (India) Ltd.,Capital Goods,INGERRAND,0.07317,2955.8,2410.24,933.68,553.71,18.457,68.412,81.267
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,0.07338,89.55,61.04,58.64,58.64,31.837,34.517,34.517
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,0.0734,1629.55,1186.5,907.92,153.74,27.188,44.284,90.565
Tamilnad Mercantile Bank Ltd.,Financial Services,TMB,0.07379,538.0,408.6,408.6,408.6,24.052,24.052,24.052
KRBL Ltd.,Fast Moving Consumer Goods,KRBL,0.07453,412.95,333.04,286.26,347.68,19.351,30.679,15.806
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,0.07493,365.95,182.13,160.23,177.73,50.231,56.215,51.433
Gland Pharma Ltd.,Healthcare,GLAND,0.07498,1656.7,1261.95,3905.25,3905.25,23.827,-135.725,-135.725
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,0.07548,1411.3,961.44,837.35,148.62,31.876,40.668,89.469
RITES Ltd.,Construction,RITES,0.07558,495.6,338.29,243.89,148.99,31.741,50.789,69.937
Praj Industries Ltd.,Capital Goods,PRAJIND,0.07615,584.35,305.26,333.9,78.85,47.761,42.86,86.506
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,0.07646,605.15,472.85,552.64,370.66,21.862,8.677,38.749
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,0.07732,63.95,53.6,52.0,50.85,16.185,18.686,20.485
Infibeam Avenues Ltd.,Financial Services,INFIBEAM,0.07741,17.9,13.51,42.63,95.03,24.525,-138.156,-430.894
KNR Constructions Ltd.,Construction,KNRCON,0.07784,279.55,248.32,293.28,113.7,11.172,-4.911,59.327
Blue Star Ltd.,Consumer Durables,BLUESTARCO,0.07805,888.2,697.6,413.5,311.05,21.459,53.445,64.98
The New India Assurance Company Ltd.,Financial Services,NIACL,0.07849,139.05,95.5,158.01,236.24,31.32,-13.635,-69.896
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,0.07885,18367.6,13739.65,13810.71,9201.42,25.196,24.809,49.904
NLC India Ltd.,Power,NLCINDIA,0.07905,131.1,70.81,52.52,54.5,45.988,59.939,58.429
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC,0.07994,499.65,249.05,294.85,1106.9,50.155,40.989,-121.535
Delhivery Ltd.,Services,DELHIVERY,0.08036,418.75,327.5,327.5,327.5,21.791,21.791,21.791
Phoenix Mills Ltd.,Realty,PHOENIXLTD,0.08042,1844.75,1278.28,905.14,620.58,30.707,50.934,66.36
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,0.08098,650.9,503.81,390.96,216.47,22.598,39.935,66.743
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,0.08104,292.4,240.38,333.85,333.85,17.791,-14.176,-14.176
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,0.08207,492.15,353.85,602.2,602.2,28.101,-22.361,-22.361
Raymond Ltd.,Textiles,RAYMOND,0.08209,1810.2,1228.59,433.23,798.65,32.13,76.067,55.881
Jindal Stainless Ltd.,Metals & Mining,JSL,0.0821,461.15,288.5,159.52,63.9,37.439,65.408,86.143
Rail Vikas Nigam Ltd.,Construction,RVNL,0.08247,168.5,64.79,27.61,27.61,61.549,83.614,83.614
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,0.0825,147.1,113.11,165.26,89.7,23.107,-12.345,39.021
NHPC Ltd.,Power,NHPC,0.08261,52.0,38.65,25.04,18.43,25.673,51.846,64.558
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,0.08307,55.6,41.2,27.75,11.45,25.899,50.09,79.406
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST,0.08469,43.7,28.3,38.9,42.55,35.24,10.984,2.632
G R Infraprojects Ltd.,Construction,GRINFRA,0.08496,1192.85,984.6,1936.4,1936.4,17.458,-62.334,-62.334
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA,0.08531,827.55,499.25,1080.0,1080.0,39.671,-30.506,-30.506
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,0.08541,573.6,458.64,370.93,370.93,20.042,35.333,35.333
Finolex Industries Ltd.,Capital Goods,FINPIPE,0.08567,226.3,163.42,188.89,109.89,27.786,16.531,51.441
Angel One Ltd.,Financial Services,ANGELONE,0.08583,1943.7,1106.7,1182.77,1182.77,43.062,39.149,39.149
Escorts Kubota Ltd.,Capital Goods,ESCORTS,0.0859,3320.05,1836.34,1496.39,779.39,44.689,54.929,76.525
Bank of Maharashtra,Financial Services,MAHABANK,0.08626,47.4,20.58,15.54,10.85,56.582,67.215,77.11
Rallis India Ltd.,Chemicals,RALLIS,0.08683,209.4,189.24,275.03,178.36,9.628,-31.342,14.823
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,0.08683,590.4,412.16,566.76,566.76,30.19,4.004,4.004
Union Bank of India,Financial Services,UNIONBANK,0.08758,102.4,60.03,31.94,76.3,41.377,68.809,25.488
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,0.08853,967.1,677.46,307.43,114.48,29.949,68.211,88.163
KPIT Technologies Ltd.,Information Technology,KPITTECH,0.0886,1128.3,870.48,344.85,344.85,22.85,69.436,69.436
RBL Bank Ltd.,Financial Services,RBLBANK,0.08876,245.4,135.52,185.22,581.87,44.776,24.523,-137.111
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,0.08886,489.75,383.89,576.04,576.04,21.615,-17.619,-17.619
EIH Ltd.,Consumer Services,EIHOTEL,0.08923,225.55,151.4,122.75,171.76,32.875,45.577,23.848
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,0.09057,1184.3,945.26,866.27,356.02,20.184,26.854,69.938
BLS International Services Ltd.,Consumer Services,BLS,0.0911,254.45,150.86,58.01,36.72,40.711,77.202,85.569
Granules India Ltd.,Healthcare,GRANULES,0.09137,349.75,282.31,318.99,108.6,19.282,8.795,68.949
Indus Towers Ltd.,Telecommunication,INDUSTOWER,0.09152,191.15,148.4,263.82,211.87,22.365,-38.017,-10.84
JBM Auto Ltd.,Automobile and Auto Components,JBMA,0.09189,1371.95,626.4,205.94,131.86,54.342,84.989,90.389
Borosil Renewables Ltd.,Capital Goods,BORORENEW,0.09218,435.95,404.6,309.05,75.18,7.191,29.109,82.755
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,0.09227,611.35,541.55,541.55,541.55,11.417,11.417,11.417
Punjab National Bank,Financial Services,PNB,0.09338,81.5,44.97,37.19,80.28,44.822,54.368,1.497
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,0.09341,3099.4,2494.3,1488.38,295.99,19.523,51.978,90.45
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,0.09406,382.95,335.05,552.0,552.0,12.508,-44.144,-44.144
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,0.09423,923.6,741.13,969.59,652.59,19.756,-4.979,29.343
Vaibhav Global Ltd.,Consumer Durables,VAIBHAVGBL,0.09503,439.1,290.41,699.16,122.45,33.862,-59.226,72.113
MTAR Technologies Ltd.,Capital Goods,MTARTECH,0.09552,2588.6,1544.2,1423.65,1423.65,40.346,45.003,45.003
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,0.0973,75.4,25.68,20.33,20.33,65.942,73.037,73.037
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,0.09845,445.3,310.1,137.24,118.2,30.362,69.18,73.456
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,0.09968,384.5,250.83,169.41,34.82,34.765,55.94,90.944
Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN,0.09971,188.15,92.29,228.15,1041.54,50.949,-21.26,-453.569
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,0.09989,445.45,364.2,343.47,69.89,18.24,22.894,84.31
Thermax Ltd.,Capital Goods,THERMAX,0.09993,3045.2,2167.75,1377.6,952.23,28.814,54.762,68.73
NCC Ltd.,Construction,NCC,0.10227,157.1,98.58,78.08,83.41,37.25,50.299,46.906
Bharat Dynamics Ltd.,Capital Goods,BDL,0.10274,1024.6,899.08,378.8,307.77,12.251,63.029,69.962
RattanIndia Enterprises Ltd.,Services,RTNINDIA,0.10415,57.35,33.85,44.85,4.9,40.976,21.796,91.456
KEI Industries Ltd.,Capital Goods,KEI,0.10443,2617.15,1675.4,896.09,412.29,35.984,65.761,84.247
MMTC Ltd.,Services,MMTC,0.10651,57.85,27.85,43.6,30.23,51.858,24.633,47.744
Vedanta Ltd.,Metals & Mining,VEDL,0.10684,209.0,237.62,180.53,104.33,-13.694,13.622,50.081
Indian Bank,Financial Services,INDIANB,0.10961,431.8,262.73,122.77,283.92,39.155,71.568,34.247
Cyient Ltd.,Information Technology,CYIENT,0.11081,1677.05,996.56,991.67,651.44,40.577,40.868,61.156
Central Bank of India,Financial Services,CENTRALBK,0.11171,50.6,22.9,21.1,67.85,54.743,58.3,-34.091
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,0.1136,5285.35,2802.86,4391.3,554.74,46.969,16.916,89.504
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,0.11409,224.2,118.3,69.69,69.69,47.235,68.916,68.916
UFLEX Ltd.,Capital Goods,UFLEX,0.11518,473.0,345.91,526.87,288.46,26.869,-11.389,39.015
SJVN Ltd.,Power,SJVN,0.11592,69.9,30.62,24.46,19.6,56.195,65.007,71.96
Jindal Worldwide Ltd.,Textiles,JINDWORLD,0.11773,388.55,319.59,88.66,91.66,17.748,77.182,76.41
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,0.11936,1078.65,611.77,929.71,892.61,43.284,13.808,17.247
Power Finance Corporation Ltd.,Financial Services,PFC,0.12118,249.65,115.78,88.62,43.0,53.623,64.502,82.776
Transport Corporation of India Ltd.,Services,TCI,0.12288,790.8,601.95,412.07,311.49,23.881,47.892,60.611
UCO Bank,Financial Services,UCOBANK,0.12367,43.05,23.2,13.45,19.65,46.109,68.757,54.355
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,0.12684,3183.45,2269.96,2357.34,1477.46,28.695,25.95,53.589
REC Ltd.,Financial Services,RECLTD,0.12739,284.35,110.52,93.87,52.59,61.132,66.988,81.505
BSE Ltd.,Financial Services,BSE,0.12833,1307.75,400.72,1123.21,216.86,69.358,14.111,83.417
JSW Energy Ltd.,Power,JSWENERGY,0.1288,432.9,225.31,345.67,61.78,47.953,20.15,85.729
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,0.12883,1937.0,1452.46,1572.26,713.18,25.015,18.83,63.181
Indiabulls Real Estate Ltd.,Realty,IBREALEST,0.13381,85.25,49.35,154.15,144.15,42.111,-80.821,-69.091
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,0.13721,1897.05,1025.18,1025.18,1025.18,45.959,45.959,45.959
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,0.13779,603.7,478.02,676.9,256.82,20.818,-12.125,57.459
IRB Infrastructure Developers Ltd.,Construction,IRB,0.14046,31.45,23.29,16.99,16.86,25.946,45.978,46.391
Macrotech Developers Ltd.,Realty,LODHA,0.14054,790.0,396.61,551.72,551.72,49.796,30.162,30.162
Indian Overseas Bank,Financial Services,IOB,0.14159,45.0,21.6,20.6,14.85,52.0,54.222,67.0
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,0.14288,1152.65,515.39,688.92,580.21,55.287,40.232,49.663
Great Eastern Shipping Co. Ltd.,Services,GESHIP,0.14767,856.2,619.64,335.01,253.04,27.629,60.872,70.446
Apar Industries Ltd.,Capital Goods,APARINDS,0.14812,5745.25,2265.44,637.59,568.14,60.568,88.902,90.111
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,0.15163,1088.15,412.84,336.94,342.78,62.06,69.036,68.499
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,0.15172,776.4,438.07,507.22,655.42,43.577,34.67,15.582
Kennametal India Ltd.,Capital Goods,KENNAMET,0.15742,2783.95,2063.94,1360.44,1360.44,25.863,51.133,51.133
HLE Glascoat Ltd.,Capital Goods,HLEGLAS,0.15855,557.8,490.62,1306.93,1306.93,12.044,-134.301,-134.301
Vodafone Idea Ltd.,Telecommunication,IDEA,0.16073,12.0,6.05,10.55,28.88,49.583,12.083,-140.667
KSB Ltd.,Capital Goods,KSB,0.17672,2921.2,2052.36,1245.64,724.48,29.743,57.359,75.199
ITI Ltd.,Telecommunication,ITI,0.19357,206.65,90.85,118.4,106.65,56.037,42.705,48.391
Brightcom Group Ltd.,Information Technology,BCG,0.20118,18.8,17.71,49.57,2.98,5.798,-163.67,84.149
Swan Energy Ltd.,Realty,SWANENERGY,0.20266,289.25,202.38,129.3,159.13,30.033,55.298,44.985
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,0.23952,3270.9,1832.27,1218.63,679.46,43.983,62.743,79.227
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,0.24287,86.5,39.52,40.08,40.41,54.312,53.665,53.283
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,0.25108,355.5,231.02,173.1,105.28,35.015,51.308,70.385
Delta Corp Ltd.,Consumer Services,DELTACORP,0.27613,140.95,180.81,230.69,251.56,-28.28,-63.668,-78.475
